Stagione,R,Giocatore,Squadra,Partite,Media_Voto,Fanta Media,Gol_Fatti,Gol_Subiti,Rigori_Parati,Assist,Clean_Sheet,Ammonizioni,Espulsioni
2025/26,P,Carnesecchi,Atalanta,37,"6,36","5,58",0,35,2,0,13,0,0
2025/26,P,Milinkovic-Savic V.,Napoli,27,"6,2","5,65",0,24,3,0,11,0,0
2025/26,P,Svilar,Roma,38,"6,26","5,45",0,31,0,0,18,0,0
2025/26,P,Butez,Como,38,"6,07","5,37",0,29,1,1,19,3,0
2025/26,P,Maignan,Milan,37,"6,26","5,42",0,35,2,0,13,4,0
2025/26,P,Di Gregorio,Juventus,30,"6,08","5,33",0,25,1,0,13,1,0
2025/26,P,Falcone,Lecce,38,"6,41","5,22",0,50,2,0,10,2,0
2025/26,P,Okoye,Udinese,30,"6,07","5,08",0,32,1,1,10,1,1
2025/26,P,Sommer,Inter,33,"5,92","5,02",0,30,0,0,15,0,0
2025/26,P,Caprile,Cagliari,38,"6,29","4,87",0,53,0,0,8,2,0
2025/26,P,Audero,Cremonese,34,"6,21","4,91",0,50,2,0,11,0,0
2025/26,P,De Gea,Fiorentina,37,"6,24",5,0,49,1,0,10,0,0
2025/26,P,Montipò,Verona,35,"6,2","4,94",0,54,3,1,5,0,0
2025/26,P,Skorupski,Bologna,18,"6,19","5,28",0,15,0,0,7,1,1
2025/26,P,Provedel,Lazio,27,"6,26","5,35",0,27,1,0,12,1,0
2025/26,P,Suzuki,Parma,20,"6,02","4,75",0,28,1,0,5,1,0
2025/26,P,Muric,Sassuolo,32,"6,08","4,77",0,43,1,0,6,4,0
2025/26,P,Bijlow,Genoa,16,"6,06","4,78",0,20,0,0,5,1,0
2025/26,P,Leali,Genoa,22,"6,16","4,84",0,27,0,0,4,2,1
2025/26,P,Corvi,Parma,17,"6,18","5,09",0,18,0,0,7,1,0
2025/26,P,Paleari,Torino,29,"6,09","4,52",0,45,0,0,9,1,0
2025/26,P,Perin,Juventus,9,"6,11","5,11",0,9,0,0,2,0,0
2025/26,P,Meret,Napoli,11,"6,23","5,18",0,12,0,1,3,1,0
2025/26,P,Turati,Sassuolo,6,"6,17",5,0,7,0,0,2,0,0
2025/26,P,Semper,Pisa,25,"6,06","4,38",0,42,0,0,4,0,0
2025/26,P,Pessina Mas.,Bologna,4,"6,12","5,62",0,2,0,0,2,0,0
2025/26,P,Martinez Jo.,Inter,5,6,"5,2",0,4,0,0,3,0,0
2025/26,P,Motta,Lazio,9,6,"5,17",0,10,1,0,3,1,0
2025/26,P,Ravaglia F.,Bologna,17,"6,21","4,38",0,29,0,0,2,4,0
2025/26,P,Furlanetto,Lazio,2,"6,5",5,0,3,0,0,0,0,0
2025/26,P,Guaita,Parma,0,0,0,0,0,0,0,0,0,0
2025/26,P,Christensen O.,Fiorentina,1,"7,5","6,5",0,1,0,0,0,0,0
2025/26,P,Rossi F.,Atalanta,0,0,0,0,0,0,0,0,0,0
2025/26,P,Sportiello,Atalanta,1,"5,5","4,5",0,1,0,0,0,0,0
2025/26,P,Ciocci,Cagliari,0,0,0,0,0,0,0,0,0,0
2025/26,P,Radunovic,Cagliari,0,0,0,0,0,0,0,0,0,0
2025/26,P,Vigorito,Como,0,0,0,0,0,0,0,0,0,0
2025/26,P,Nava,Cremonese,0,0,0,0,0,0,0,0,0,0
2025/26,P,Martinelli T.,Fiorentina,0,0,0,0,0,0,0,0,0,0
2025/26,P,Siegrist,Genoa,0,0,0,0,0,0,0,0,0,0
2025/26,P,Sommariva,Genoa,2,"5,75","3,75",0,4,0,0,0,0,0
2025/26,P,Di Gennaro,Inter,1,6,5,0,1,0,0,0,0,0
2025/26,P,Pinsoglio,Juventus,0,0,0,0,0,0,0,0,0,0
2025/26,P,Mandas,Lazio,0,0,0,0,0,0,0,0,0,0
2025/26,P,Fruchtl,Lecce,0,0,0,0,0,0,0,0,0,0
2025/26,P,Samooja,Lecce,0,0,0,0,0,0,0,0,0,0
2025/26,P,Terracciano,Milan,2,6,6,0,0,0,0,1,0,0
2025/26,P,Torriani,Milan,0,0,0,0,0,0,0,0,0,0
2025/26,P,Contini,Napoli,0,0,0,0,0,0,0,0,0,0
2025/26,P,Rinaldi,Parma,1,7,"6,5",0,0,0,0,1,1,0
2025/26,P,Nicolas,Pisa,6,"5,92","3,58",0,14,0,0,0,0,0
2025/26,P,Scuffet,Pisa,7,"6,21","4,07",0,15,0,0,1,0,0
2025/26,P,Zelezny,Roma,0,0,0,0,0,0,0,0,0,0
2025/26,P,Gollini,Roma,0,0,0,0,0,0,0,0,0,0
2025/26,P,Russo A.,Sassuolo,0,0,0,0,0,0,0,0,0,0
2025/26,P,Satalino,Sassuolo,0,0,0,0,0,0,0,0,0,0
2025/26,P,Donnarumma An.,Torino,0,0,0,0,0,0,0,0,0,0
2025/26,P,Israel,Torino,9,"5,89","3,83",0,18,0,0,0,1,0
2025/26,P,Popa,Torino,0,0,0,0,0,0,0,0,0,0
2025/26,P,Padelli,Udinese,2,"6,25","5,25",0,2,0,0,0,0,0
2025/26,P,Sava,Udinese,7,"5,57","3,5",0,14,0,0,1,1,0
2025/26,P,Perilli,Verona,3,"6,17","3,83",0,7,0,0,1,0,0
2025/26,P,Vasquez D.,Roma,0,0,0,0,0,0,0,0,0,0
2025/26,P,Nunziante,Udinese,0,0,0,0,0,0,0,0,0,0
2025/26,P,Lezzerini,Fiorentina,0,0,0,0,0,0,0,0,0,0
2025/26,P,Silvestri,Cremonese,4,"6,38","4,62",0,7,0,0,0,0,0
2025/26,P,Toniolo,Verona,0,0,0,0,0,0,0,0,0,0
2025/26,P,Cavlina,Como,0,0,0,0,0,0,0,0,0,0
2025/26,P,Ferrante,Napoli,0,0,0,0,0,0,0,0,0,0
2025/26,P,Calligaris,Inter,0,0,0,0,0,0,0,0,0,0
2025/26,P,Tornqvist,Como,0,0,0,0,0,0,0,0,0,0
2025/26,P,Sherri,Cagliari,0,0,0,0,0,0,0,0,0,0
2025/26,P,Siviero,Torino,0,0,0,0,0,0,0,0,0,0
2025/26,P,Pannozzo,Lazio,0,0,0,0,0,0,0,0,0,0
2025/26,P,Giacomone,Lazio,0,0,0,0,0,0,0,0,0,0
2025/26,D,Dimarco,Inter,35,"6,6","7,64",7,0,0,17,0,3,0
2025/26,D,Bremer,Juventus,26,"6,33","6,81",4,0,0,3,0,5,0
2025/26,D,Pavlovic,Milan,34,"6,24","6,62",5,0,0,0,0,4,0
2025/26,D,Palestra,Cagliari,37,"6,27","6,42",1,0,0,4,0,3,0
2025/26,D,Kempf,Como,29,"6,12","6,52",4,0,0,1,0,3,0
2025/26,D,Spinazzola,Napoli,30,"6,17","6,55",3,0,0,3,0,1,0
2025/26,D,Scalvini,Atalanta,24,"6,06","6,44",3,0,0,1,0,2,0
2025/26,D,Bisseck,Inter,23,"6,22","6,65",3,0,0,2,0,2,0
2025/26,D,Mancini,Roma,36,"6,25","6,51",4,0,0,2,0,9,0
2025/26,D,Ostigard,Genoa,30,"6,13","6,52",5,0,0,0,0,7,0
2025/26,D,Kalulu,Juventus,37,"6,14","6,35",2,0,0,4,0,2,1
2025/26,D,Celik,Roma,32,"6,17","6,27",1,0,0,2,0,2,1
2025/26,D,Wesley,Roma,30,"6,12","6,47",5,0,0,0,0,5,2
2025/26,D,Solet,Udinese,34,"6,18","6,4",3,0,0,1,0,1,0
2025/26,D,Bastoni,Inter,28,"6,2","6,34",1,0,0,4,0,6,0
2025/26,D,Hermoso,Roma,27,"6,17","6,41",3,0,0,2,0,9,0
2025/26,D,Rensch,Roma,19,"6,16","6,5",1,0,0,4,0,1,0
2025/26,D,Akanji,Inter,32,"6,28","6,41",2,0,0,0,0,4,0
2025/26,D,Zappacosta,Atalanta,35,"6,06","6,3",3,0,0,1,0,3,0
2025/26,D,Dumfries,Inter,19,"6,11","6,58",3,0,0,1,0,2,0
2025/26,D,N'Dicka,Roma,31,"6,08","6,32",3,0,0,1,0,5,0
2025/26,D,Gosens,Fiorentina,25,"5,92","6,28",3,0,0,1,0,2,0
2025/26,D,Vasquez,Genoa,36,"6,08","6,14",1,0,0,0,0,2,0
2025/26,D,Kelly L.,Juventus,35,"6,01","6,07",1,0,0,1,0,4,0
2025/26,D,Rrahmani,Napoli,21,"6,24","6,45",2,0,0,0,0,3,0
2025/26,D,Valeri,Parma,34,"6,06","6,09",0,0,0,2,0,2,0
2025/26,D,Kristensen T.,Udinese,28,"5,98","6,23",3,0,0,0,0,4,0
2025/26,D,Athekame,Milan,17,"5,94","6,32",2,0,0,2,0,3,0
2025/26,D,Holm,Juventus,16,"6,09","6,44",1,0,0,4,0,1,1
2025/26,D,Miranda J.,Bologna,31,6,"6,1",1,0,0,3,0,6,0
2025/26,D,Vojvoda,Como,27,"6,02","6,24",2,0,0,1,0,2,0
2025/26,D,Valle,Como,26,"6,06","6,23",1,0,0,3,0,3,0
2025/26,D,Dodò,Fiorentina,36,"5,99","6,03",1,0,0,2,0,7,0
2025/26,D,Martin,Genoa,29,"5,97","6,1",1,0,0,5,0,2,0
2025/26,D,Carlos Augusto,Inter,28,"6,12","6,16",1,0,0,1,0,6,0
2025/26,D,Tiago Gabriel,Lecce,36,6,"6,01",2,0,0,0,0,7,0
2025/26,D,Gallo,Lecce,37,"5,95","5,99",0,0,0,3,0,3,0
2025/26,D,Bartesaghi,Milan,31,"5,97","6,05",2,0,0,0,0,3,0
2025/26,D,Beukema,Napoli,22,"5,93","6,16",2,0,0,0,0,2,0
2025/26,D,Di Lorenzo,Napoli,26,"6,08","6,33",2,0,0,1,0,1,0
2025/26,D,Delprato,Parma,35,"5,91","6,01",2,0,0,0,0,5,0
2025/26,D,Kabasele,Udinese,28,"5,98","6,18",3,0,0,0,0,5,1
2025/26,D,Ramon,Como,32,"6,16","6,14",2,0,0,0,0,11,1
2025/26,D,Belghali,Verona,26,"6,1","6,21",2,0,0,0,0,6,0
2025/26,D,Gutierrez,Napoli,21,"5,98","6,17",1,0,0,1,0,0,0
2025/26,D,Obrador,Torino,16,"6,06","6,41",1,0,0,3,0,1,0
2025/26,D,Posch,Como,8,"6,06","6,38",1,0,0,0,0,1,0
2025/26,D,Mina,Cagliari,26,6,"6,17",2,0,0,1,0,3,1
2025/26,D,Moreno Alb.,Como,16,"6,06","6,38",2,0,0,1,0,4,0
2025/26,D,Cambiaso,Juventus,36,"5,81","5,99",3,0,0,4,0,3,1
2025/26,D,Baschirotto,Cremonese,29,"5,95","6,12",2,0,0,0,0,2,0
2025/26,D,Angori,Pisa,35,"5,91","5,94",0,0,0,2,0,2,0
2025/26,D,Coco,Torino,35,"5,84","5,91",1,0,0,1,0,3,0
2025/26,D,Bernasconi,Atalanta,22,"6,09","6,16",0,0,0,3,0,3,0
2025/26,D,Luperto,Cremonese,34,"5,84","5,9",1,0,0,1,0,4,0
2025/26,D,Zortea,Bologna,28,"5,86","5,89",0,0,0,2,0,2,0
2025/26,D,Pavard,Inter,1,"6,5","6,5",0,0,0,0,0,0,0
2025/26,D,Gila,Lazio,31,"6,03","5,95",0,0,0,0,0,3,1
2025/26,D,Romagnoli,Lazio,32,"6,03","5,92",0,0,0,0,0,5,1
2025/26,D,Marusic,Lazio,33,"5,86","5,97",1,0,0,2,0,1,1
2025/26,D,Tomori,Milan,32,"5,97","5,88",0,0,0,1,0,6,1
2025/26,D,Buongiorno,Napoli,32,"5,89","5,88",0,0,0,1,0,3,0
2025/26,D,Circati,Parma,31,"5,92","5,92",1,0,0,0,0,6,0
2025/26,D,Muharemovic,Sassuolo,32,"5,91","5,89",2,0,0,1,0,7,0
2025/26,D,Maripan,Torino,26,"5,94","6,1",2,0,0,0,0,4,0
2025/26,D,Ghilardi,Roma,21,"5,98","5,95",0,0,0,0,0,1,0
2025/26,D,Tchatchoua,Verona,0,0,0,0,0,0,0,0,0,0
2025/26,D,Idzes,Sassuolo,35,"5,94","5,9",0,0,0,0,0,3,0
2025/26,D,Diego Carlos,Como,25,"6,14","6,1",1,0,0,0,0,8,0
2025/26,D,Garcia U.,Sassuolo,12,"6,17","6,46",1,0,0,2,0,3,0
2025/26,D,Djimsiti,Atalanta,33,"5,86","5,8",0,0,0,0,0,4,0
2025/26,D,Kolasinac,Atalanta,17,"6,03","5,94",0,0,0,0,0,3,0
2025/26,D,Lucumì,Bologna,28,"5,88","5,89",1,0,0,0,0,5,0
2025/26,D,Obert,Cagliari,34,"5,88","5,82",0,0,0,3,0,8,1
2025/26,D,Marcandalli,Genoa,31,"5,87","5,84",0,0,0,1,0,4,0
2025/26,D,Norton-Cuffy,Genoa,27,"5,93","6,09",2,0,0,1,0,3,1
2025/26,D,Provstgaard,Lazio,23,"5,91","5,85",0,0,0,0,0,3,0
2025/26,D,Terracciano F.,Cremonese,35,"5,86","5,83",2,0,0,0,0,6,0
2025/26,D,Leoni,Parma,0,0,0,0,0,0,0,0,0,0
2025/26,D,Angelino,Roma,6,"5,83","5,67",0,0,0,0,0,2,0
2025/26,D,Pedersen,Torino,28,"5,84","5,96",1,0,0,2,0,3,0
2025/26,D,Ehizibue,Udinese,26,"5,83","5,96",2,0,0,0,0,5,0
2025/26,D,Frese,Verona,31,"5,84","5,84",2,0,0,0,0,8,0
2025/26,D,Hien,Atalanta,28,"5,91","5,86",1,0,0,0,0,5,0
2025/26,D,Kossounou,Atalanta,16,"5,94","6,09",1,0,0,0,0,1,0
2025/26,D,Bellanova,Atalanta,22,"5,82","5,82",0,0,0,1,0,2,0
2025/26,D,Zappa,Cagliari,25,"5,9","5,98",0,0,0,3,0,2,0
2025/26,D,Smolcic I.,Como,25,"5,96","5,84",0,0,0,1,0,8,0
2025/26,D,Barbieri,Cremonese,26,"5,98","5,87",0,0,0,1,0,8,0
2025/26,D,Ranieri L.,Fiorentina,31,"5,85","5,79",1,0,0,0,0,8,1
2025/26,D,Parisi,Fiorentina,23,"6,02","5,98",1,0,0,1,0,6,0
2025/26,D,De Winter,Milan,24,"5,75","5,9",1,0,0,1,0,1,0
2025/26,D,Cabal,Juventus,9,"5,94","6,56",2,0,0,0,0,1,0
2025/26,D,Joao Mario,Bologna,14,"5,79",6,1,0,0,1,0,2,0
2025/26,D,Tavares N.,Lazio,22,"5,91","5,8",0,0,0,0,0,5,0
2025/26,D,Zanoli,Udinese,19,"6,05","6,29",1,0,0,2,0,1,0
2025/26,D,Caracciolo A.,Pisa,35,"5,8","5,77",2,0,0,0,0,10,0
2025/26,D,Ismajli,Torino,24,"5,92","5,9",0,0,0,2,0,5,0
2025/26,D,Kamara H.,Udinese,26,"5,88","5,87",0,0,0,2,0,5,0
2025/26,D,Bradaric,Verona,29,"5,81","5,84",0,0,0,2,0,2,0
2025/26,D,Siebert,Lecce,19,"5,68","5,76",1,0,0,0,0,3,0
2025/26,D,Edmundsson,Verona,15,"5,97","5,73",0,0,0,0,0,3,0
2025/26,D,Idrissi R.,Cagliari,17,"5,82","6,09",2,0,0,0,0,3,0
2025/26,D,Dossena,Cagliari,11,"5,82","5,68",0,0,0,1,0,5,0
2025/26,D,Van Der Brempt,Como,14,"5,96","5,96",0,0,0,1,0,2,0
2025/26,D,Floriani Mussolini,Cremonese,23,"5,72","5,72",0,0,0,1,0,2,0
2025/26,D,Pongracic,Fiorentina,35,"5,84","5,67",0,0,0,0,0,12,0
2025/26,D,Acerbi,Inter,16,"6,03","5,94",0,0,0,0,0,3,0
2025/26,D,Gatti,Juventus,16,"5,94","6,22",2,0,0,0,0,3,0
2025/26,D,Pellegrini Lu.,Lazio,24,"5,85","5,81",1,0,0,0,0,8,0
2025/26,D,Veiga D.,Lecce,36,"5,82","5,69",0,0,0,0,0,9,0
2025/26,D,Gabbia,Milan,29,"5,91","5,84",0,0,0,0,0,4,0
2025/26,D,Jimenez A.,Milan,1,"5,5",5,0,0,0,0,0,1,0
2025/26,D,Olivera,Napoli,22,"5,75","5,68",0,0,0,0,0,3,0
2025/26,D,Valenti,Parma,27,"5,96","5,83",0,0,0,0,0,7,0
2025/26,D,Canestrelli,Pisa,37,"5,69","5,72",1,0,0,0,0,4,0
2025/26,D,Walukiewicz,Sassuolo,34,"5,81","5,74",0,0,0,1,0,7,0
2025/26,D,Bertola,Udinese,25,"5,86","5,84",0,0,0,1,0,3,0
2025/26,D,Ebosse,Torino,16,"5,75","5,72",0,0,0,1,0,4,0
2025/26,D,Cuadrado,Pisa,15,"6,03","6,13",1,0,0,0,0,3,0
2025/26,D,Nelsson,Verona,37,"5,68","5,57",0,0,0,0,0,4,0
2025/26,D,Troilo,Parma,21,"5,79","5,71",1,0,0,0,0,5,2
2025/26,D,Zè Pedro,Cagliari,22,"5,77","5,68",0,0,0,1,0,6,0
2025/26,D,Ahanor,Atalanta,21,"5,79","5,69",0,0,0,0,0,2,1
2025/26,D,Vitik,Bologna,18,"5,94","5,86",0,0,0,0,0,3,0
2025/26,D,Bianchetti,Cremonese,27,"5,72","5,69",0,0,0,1,0,4,0
2025/26,D,Folino,Cremonese,11,"5,77","6,05",1,0,0,0,0,0,0
2025/26,D,Pezzella Giu.,Cremonese,31,"5,68","5,55",0,0,0,1,0,8,1
2025/26,D,Comuzzo,Fiorentina,24,"5,75","5,75",1,0,0,0,0,2,0
2025/26,D,Thiaw,Milan,0,0,0,0,0,0,0,0,0,0
2025/26,D,Juan Jesus,Napoli,21,"5,86","5,62",0,0,0,0,0,8,1
2025/26,D,Mazzocchi,Napoli,9,"5,94","5,94",0,0,0,1,0,0,1
2025/26,D,Salah-Eddine,Roma,0,0,0,0,0,0,0,0,0,0
2025/26,D,Doig,Sassuolo,27,"5,85","5,76",0,0,0,0,0,5,0
2025/26,D,Lazaro,Torino,30,"5,7","5,7",0,0,0,2,0,4,0
2025/26,D,Unai Nunez,Verona,17,"5,85","5,59",0,0,0,0,0,5,0
2025/26,D,Oyegoke,Verona,10,"5,8","5,7",0,0,0,0,0,2,0
2025/26,D,Heggem,Bologna,25,"5,84","5,8",0,0,0,0,0,0,1
2025/26,D,Britschgi,Parma,28,"5,75","5,7",0,0,0,2,0,5,1
2025/26,D,Rodriguez Ju.,Cagliari,16,"5,62","5,72",1,0,0,0,0,3,0
2025/26,D,Coulibaly W.,Sassuolo,18,"5,69","5,64",0,0,0,0,0,2,0
