Stagione,Lato,Turno,Gara,Posizione1,Squadra1,Posizione2,Squadra2,Vincitore,Modalità
2025/26,SX,PlayOff1,G1,35,MONZARELLA E POMODORO,62,ARZIGNANO VACCHIAPPO,ARZIGNANO VACCHIAPPO,Secca
2025/26,SX,PlayOff1,G2,45,SPEZIAL ONE,52,NAPOLEONI,NAPOLEONI,Secca
2025/26,SX,PlayOff1,G3,39,CACACE CERRINZOLA,58,EL DOLOMITAZO,CACACE CERRINZOLA,Secca
2025/26,SX,PlayOff1,G4,43,BOLAGNA,54,VOSENZA,BOLAGNA,Secca
2025/26,SX,PlayOff1,G5,33,IROMAN,64,SIRACUSA,IROMAN,Secca
2025/26,SX,PlayOff1,G6,47,BOMBERUGIA,49,FROSILVIONE,FROSILVIONE,Secca
2025/26,SX,PlayOff1,G7,37,PRO TARZANELLI,60,AS PIZZA ERMINIO,AS PIZZA ERMINIO,Secca
2025/26,SX,PlayOff1,G8,41,BARISA,56,FIORENTONI PEPPERONI,FIORENTONI PEPPERONI,Secca
2025/26,SX,PlayOff2,G9,,ARZIGNANO VACCHIAPPO,,NAPOLEONI,NAPOLEONI,Secca
2025/26,SX,PlayOff2,G10,,CACACE CERRINZOLA,,BOLAGNA,CACACE CERRINZOLA,Secca
2025/26,SX,PlayOff2,G11,,IROMAN,,FROSILVIONE,FROSILVIONE,Secca
2025/26,SX,PlayOff2,G12,,AS PIZZA ERMINIO,,FIORENTONI PEPPERONI,AS PIZZA ERMINIO,Secca
2025/26,SX,PlayOff3,G13,,NAPOLEONI,32,AREZZENAL,AREZZENAL,Secca
2025/26,SX,PlayOff3,G14,,CACACE CERRINZOLA,28,SAMBENEDETTA DOMENICA,CACACE CERRINZOLA,Secca
2025/26,SX,PlayOff3,G15,,FROSILVIONE,29,OSPITALETTO,OSPITALETTO,Secca
2025/26,SX,PlayOff3,G16,,AS PIZZA ERMINIO,25,ALBANOLEFFE,AS PIZZA ERMINIO,Secca
2025/26,SX,Trentaduesimi,G17,,AREZZENAL,21,LANARHOADES VICENZA,LANARHOADES VICENZA,A-R
2025/26,SX,Trentaduesimi,G18,,CACACE CERRINZOLA,17,BACARPI SCHITZ,CACACE CERRINZOLA,A-R
2025/26,SX,Trentaduesimi,G19,,OSPITALETTO,20,CAMPOBASTA,CAMPOBASTA,A-R
2025/26,SX,Trentaduesimi,G20,,AS PIZZA ERMINIO,24,BENEVENGO,BENEVENGO,A-R
2025/26,SX,Sedicesimi,G21,,LANARHOADES VICENZA,15,VIRTUS CORONA,LANARHOADES VICENZA,A-R
2025/26,SX,Sedicesimi,G22,,CACACE CERRINZOLA,11,I LECCENDARI,I LECCENDARI,A-R
2025/26,SX,Sedicesimi,G23,,CAMPOBASTA,10,NASPICERNO,NASPICERNO,A-R
2025/26,SX,Sedicesimi,G24,,BENEVENGO,14,GUIDONIA MONTECESARE,BENEVENGO,A-R
2025/26,SX,Ottavi,G25,,LANARHOADES VICENZA,1,CIOLONE MILANO,LANARHOADES VICENZA,A-R
2025/26,SX,Ottavi,G26,,I LECCENDARI,5,KUNG FU PARMA,I LECCENDARI,A-R
2025/26,SX,Ottavi,G27,,NASPICERNO,4,CARRARIISE,NASPICERNO,A-R
2025/26,SX,Ottavi,G28,,BENEVENGO,8,A G PASCOLI,BENEVENGO,A-R
2025/26,SX,Quarti,G29,,LANARHOADES VICENZA,,I LECCENDARI,LANARHOADES VICENZA,A-R
2025/26,SX,Quarti,G30,,NASPICERNO,,BENEVENGO,BENEVENGO,A-R
2025/26,SX,Semifinali,G31,,LANARHOADES VICENZA,,BENEVENGO,LANARHOADES VICENZA,A-R
2025/26,SX,Finale,G32,,LANARHOADES VICENZA,,LICORTO MUSO,LANARHOADES VICENZA,Secca
2025/26,DX,PlayOff1,G1,36,MONOPOLY,61,ANDREA E GIUGLIANO,ANDREA E GIUGLIANO,Secca
2025/26,DX,PlayOff1,G2,46,AURORA PRO PATRIARCATO,51,VIRTUS TAVERNELLO,AURORA PRO PATRIARCATO,Secca
2025/26,DX,PlayOff1,G3,40,COOLINESE,57,TRIESTIN PEACE,COOLINESE,Secca
2025/26,DX,PlayOff1,G4,44,COMMUNION BRESCIA,53,RAVENGERS,RAVENGERS,Secca
2025/26,DX,PlayOff1,G5,34,PALERMAVAI MA VIENI MA CHI SONOO,63,CON MOLLICA O SENZA,PALERMAVAI MA VIENI MA CHI SONOO,Secca
2025/26,DX,PlayOff1,G6,48,LUMEZZANEGGER,50,JUVE SCABBIA,JUVE SCABBIA,Secca
2025/26,DX,PlayOff1,G7,38,KAKASERTANA,59,FOGGIA A SBORNIA,KAKASERTANA,Secca
2025/26,DX,PlayOff1,G8,42,ACCATTANIA,55,ANALANTA,ACCATTANIA,Secca
2025/26,DX,PlayOff2,G9,,ANDREA E GIUGLIANO,,AURORA PRO PATRIARCATO,ANDREA E GIUGLIANO,Secca
2025/26,DX,PlayOff2,G10,,COOLINESE,,RAVENGERS,COOLINESE,Secca
2025/26,DX,PlayOff2,G11,,PALERMAVAI MA VIENI MA CHI SONO,,JUVE SCABBIA,PALERMAVAI MA VIENI MA CHI SONO,Secca
2025/26,DX,PlayOff2,G12,,KAKASERTANA,,ACCATTANIA,ACCATTANIA,Secca
2025/26,DX,PlayOff3,G13,,ANDREA E GIUGLIANO,31,MANTOVA LA GATTA AL LARDO,ANDREA E GIUGLIANO,Secca
2025/26,DX,PlayOff3,G14,,COOLINESE,27, PATATALANTA U23,COOLINESE,Secca
2025/26,DX,PlayOff3,G15,,PALERMAVAI MA VIENI MA CHI SONO,30,PISA AND LOVE,PISA AND LOVE,Secca
2025/26,DX,PlayOff3,G16,,ACCATTANIA,26,HELLAS TERRONIA, HELLAS TERRONIA,Secca
2025/26,DX,Trentaduesimi,G17,,ANDREA E GIUGLIANO,22,PINETONIC,ANDREA E GIUGLIANO,A-R
2025/26,DX,Trentaduesimi,G18,,COOLINESE,18,BRODENA,COOLINESE,A-R
2025/26,DX,Trentaduesimi,G19,,PISA AND LOVE,19,CAGLIARITHANOS,CAGLIARITHANOS,A-R
2025/26,DX,Trentaduesimi,G20,,HELLAS TERRONIA,23,FORLIPPO INZAGHI,FORLIPPO INZAGHI,A-R
2025/26,DX,Sedicesimi,G21,,ANDREA E GIUGLIANO,16,WHY ALWAYS MILAN,ANDREA E GIUGLIANO,A-R
2025/26,DX,Sedicesimi,G22,,COOLINESE,12,PESCARAMUCCIA,PESCARAMUCCIA,A-R
2025/26,DX,Sedicesimi,G23,,CAGLIARITHANOS,9,PONTEDERA,PONTEDERA,A-R
2025/26,DX,Sedicesimi,G24,,FORLIPPO INZAGHI,13,GENOASIS,FORLIPPO INZAGHI,A-R
2025/26,DX,Ottavi,G25,,ANDREA E GIUGLIANO,2,CASSARANO,CASSARANO,A-R
2025/26,DX,Ottavi,G26,,PESCARAMUCCIA,6,BIANCAVESE,BIANCAVESE,A-R
2025/26,DX,Ottavi,G27,,PONTEDERA,3,LICORTO MUSO,LICORTO MUSO,A-R
2025/26,DX,Ottavi,G28,,FORLIPPO INZAGHI,7,GUBBIO DI FANGO,FORLIPPO INZAGHI,A-R
2025/26,DX,Quarti,G29,,CASSARANO,,BIANCAVESE,CASSARANO,A-R
2025/26,DX,Quarti,G30,,LICORTO MUSO,,FORLIPPO INZAGHI,LICORTO MUSO,A-R
2025/26,DX,Semifinali,G31,,CASSARANO,,LICORTO MUSO,LICORTO MUSO,A-R
2025/26,DX,Finale,G32,,LICORTO MUSO,,LANARHOADES VICENZA,LANARHOADES VICENZA,Secca